R,x0,y0,charge,r_g,R_over_rg,dist0,m_mode,trapped
4,20,3,1.0,1.0,4,20.223748416156685,0,0
4,20,10,1.0,1.0,4,22.360679774997898,0,0
4,20,20,1.0,1.0,4,28.284271247461902,0,0
4,30,-10,1.0,1.0,4,31.622776601683793,0,0
4,30,-3,1.0,1.0,4,30.14962686336267,0,0
4,30,0,1.0,1.0,4,30.0,0,0
4,30,3,1.0,1.0,4,30.14962686336267,0,0
4,30,10,1.0,1.0,4,31.622776601683793,0,0
4,30,20,1.0,1.0,4,36.05551275463989,0,0
5,-15,-10,1.0,1.0,5,18.027756377319946,0,0
5,-15,-3,1.0,1.0,5,15.297058540778355,0,0
5,-15,0,1.0,1.0,5,15.0,0,1
5,-15,3,1.0,1.0,5,15.297058540778355,0,0
5,-15,10,1.0,1.0,5,18.027756377319946,0,0
5,-15,20,1.0,1.0,5,25.0,0,0
5,-5,-10,1.0,1.0,5,11.180339887498949,0,0
5,-5,-3,1.0,1.0,5,5.830951894845301,0,1
5,-5,0,1.0,1.0,5,5.0,0,1
5,-5,3,1.0,1.0,5,5.830951894845301,0,1
5,-5,10,1.0,1.0,5,11.180339887498949,0,0
5,-5,20,1.0,1.0,5,20.615528128088304,0,0
5,0,-10,1.0,1.0,5,10.0,0,1
5,0,-3,1.0,1.0,5,3.0,0,1
5,0,0,1.0,1.0,5,0.0,0,1
5,0,3,1.0,1.0,5,3.0,0,1
5,0,10,1.0,1.0,5,10.0,0,1
5,0,20,1.0,1.0,5,20.0,0,0
5,5,-10,1.0,1.0,5,11.180339887498949,0,0
5,5,-3,1.0,1.0,5,5.830951894845301,0,1
5,5,0,1.0,1.0,5,5.0,0,1
5,5,3,1.0,1.0,5,5.830951894845301,0,1
5,5,10,1.0,1.0,5,11.180339887498949,0,0
5,5,20,1.0,1.0,5,20.615528128088304,0,0
5,10,-10,1.0,1.0,5,14.142135623730951,0,0
5,10,-3,1.0,1.0,5,10.44030650891055,0,0
5,10,0,1.0,1.0,5,10.0,0,1
5,10,3,1.0,1.0,5,10.44030650891055,0,1
5,10,10,1.0,1.0,5,14.142135623730951,0,0
5,10,20,1.0,1.0,5,22.360679774997898,0,0
5,20,-10,1.0,1.0,5,22.360679774997898,0,0
5,20,-3,1.0,1.0,5,20.223748416156685,0,0
5,20,0,1.0,1.0,5,20.0,0,0
5,20,3,1.0,1.0,5,20.223748416156685,0,0
5,20,10,1.0,1.0,5,22.360679774997898,0,0
5,20,20,1.0,1.0,5,28.284271247461902,0,0
5,30,-10,1.0,1.0,5,31.622776601683793,0,0
5,30,-3,1.0,1.0,5,30.14962686336267,0,0
5,30,0,1.0,1.0,5,30.0,0,0
5,30,3,1.0,1.0,5,30.14962686336267,0,0
5,30,10,1.0,1.0,5,31.622776601683793,0,0
5,30,20,1.0,1.0,5,36.05551275463989,0,0
6,-15,-10,1.0,1.0,6,18.027756377319946,0,0
6,-15,-3,1.0,1.0,6,15.297058540778355,0,0
6,-15,0,1.0,1.0,6,15.0,0,1
6,-15,3,1.0,1.0,6,15.297058540778355,0,0
6,-15,10,1.0,1.0,6,18.027756377319946,0,0
6,-15,20,1.0,1.0,6,25.0,0,0
6,-5,-10,1.0,1.0,6,11.180339887498949,0,1
6,-5,-3,1.0,1.0,6,5.830951894845301,0,1
6,-5,0,1.0,1.0,6,5.0,0,1
6,-5,3,1.0,1.0,6,5.830951894845301,0,1
6,-5,10,1.0,1.0,6,11.180339887498949,0,1
6,-5,20,1.0,1.0,6,20.615528128088304,0,0
6,0,-10,1.0,1.0,6,10.0,0,1
6,0,-3,1.0,1.0,6,3.0,0,1
6,0,0,1.0,1.0,6,0.0,0,1
6,0,3,1.0,1.0,6,3.0,0,1
6,0,10,1.0,1.0,6,10.0,0,1
6,0,20,1.0,1.0,6,20.0,0,0
6,5,-10,1.0,1.0,6,11.180339887498949,0,1
6,5,-3,1.0,1.0,6,5.830951894845301,0,1
6,5,0,1.0,1.0,6,5.0,0,1
6,5,3,1.0,1.0,6,5.830951894845301,0,1
6,5,10,1.0,1.0,6,11.180339887498949,0,1
6,5,20,1.0,1.0,6,20.615528128088304,0,0
6,10,-10,1.0,1.0,6,14.142135623730951,0,0
6,10,-3,1.0,1.0,6,10.44030650891055,0,1
6,10,0,1.0,1.0,6,10.0,0,1
6,10,3,1.0,1.0,6,10.44030650891055,0,1
6,10,10,1.0,1.0,6,14.142135623730951,0,0
6,10,20,1.0,1.0,6,22.360679774997898,0,0
6,20,-10,1.0,1.0,6,22.360679774997898,0,0
6,20,-3,1.0,1.0,6,20.223748416156685,0,0
6,20,0,1.0,1.0,6,20.0,0,0
6,20,3,1.0,1.0,6,20.223748416156685,0,0
6,20,10,1.0,1.0,6,22.360679774997898,0,0
